tns_name,previous_name,repeater_name,snr_fitb,dm_fitb,dm_fitb_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes
FRB20181221A,-9999,-9999,78.8,316.24,0.01,1.2,0.5,-9999,6,2,-9999
FRB20181221B,-9999,-9999,52.1,1395.021,0.008,1,0.6,-9999,3,2,-9999
FRB20181222A,-9999,FRB20180916B,214.4,348.7365,0.0003,5,2,-9999,50,10,-9999
FRB20181222A,-9999,FRB20180916B,214.4,348.7365,0.0003,5,2,-9999,50,10,-9999
FRB20181222A,-9999,FRB20180916B,214.4,348.7365,0.0003,5,2,-9999,50,10,-9999
FRB20181222A,-9999,FRB20180916B,214.4,348.7365,0.0003,5,2,-9999,50,10,-9999
FRB20181222B,-9999,-9999,12.7,619.248,0.007,0.5,0.2,-9999,0.8,0.5,-9999
FRB20181222C,-9999,-9999,17.5,1104.89,0.03,0.8,0.4,-9999,3,1,-9999
FRB20181222D,-9999,-9999,20.2,1417.1,0.1,0.2,0.2,-9999,1.2,0.8,-9999
FRB20181222E,-9999,-9999,36.7,327.98,0.005,1.1,0.7,-9999,6,3,-9999
FRB20181222E,-9999,-9999,36.7,327.98,0.005,1.1,0.7,-9999,6,3,-9999
FRB20181223A,-9999,FRB20180916B,67.2,349.71,0.008,2,0.8,-9999,16,5,-9999
FRB20181223A,-9999,FRB20180916B,67.2,349.71,0.008,2,0.8,-9999,16,5,-9999
FRB20181223B,-9999,-9999,21.3,565.66,0.02,0.7,0.3,-9999,4,1,-9999
FRB20181223C,-9999,-9999,28.3,112.512,0.003,1.4,0.5,-9999,2.8,0.9,-9999
FRB20181224A,-9999,-9999,104.1,310.2064,0.0004,4,2,-9999,3,2,-9999
FRB20181224B,-9999,-9999,22.4,781.01,0.01,0.8,0.5,-9999,3,2,-9999
FRB20181224C,-9999,-9999,26.9,596.32,0.06,0.5,0.3,-9999,10,3,-9999
FRB20181224D,-9999,-9999,12.8,690.2,0.02,0.5,0.3,-9999,2,1,-9999
FRB20181224E,-9999,-9999,42.1,581.854,0.004,4,2,-9999,10,5,-9999
FRB20181224E,-9999,-9999,42.1,581.854,0.004,4,2,-9999,10,5,-9999
FRB20181225A,-9999,FRB20180916B,31.8,349.62,0.04,0.6,0.4,-9999,4,2,-9999
FRB20181225B,-9999,-9999,27.6,299.287,0.005,2,1,-9999,7,4,-9999
FRB20181226C,-9999,-9999,25.3,409.018,0.006,0.9,0.5,-9999,3,1,-9999
FRB20181226A,-9999,FRB20180916B,69,349.011,0.001,1.6,0.6,-9999,6,1,-9999
FRB20181226A,-9999,FRB20180916B,69,349.011,0.001,1.6,0.6,-9999,6,1,-9999
FRB20181226D,-9999,-9999,34.7,385.378,0.003,1.9,0.8,-9999,3,1,-9999
FRB20181226B,-9999,-9999,176.6,287.036,0.002,9,3,-9999,50,20,-9999
FRB20181226B,-9999,-9999,176.6,287.036,0.002,9,3,-9999,50,20,-9999
FRB20181226B,-9999,-9999,176.6,287.036,0.002,9,3,-9999,50,20,-9999
FRB20181226E,-9999,-9999,20.9,308.76,0.02,0.5,0.4,-9999,1.3,0.8,-9999
FRB20181227A,-9999,-9999,11.1,791.213,0.006,0.9,0.6,-9999,1.8,0.9,-9999
FRB20181228A,-9999,-9999,18.1,748.679,0.009,1.2,0.9,-9999,4,2,-9999
FRB20181228B,-9999,-9999,34.6,568.651,0.002,0.4,0.2,-9999,1.7,0.8,-9999
FRB20181228C,-9999,-9999,10.3,510.7,0.01,0.4,0.2,-9999,0.7,0.2,-9999
FRB20181229A,-9999,-9999,31.7,955.574,0.004,1.2,0.4,-9999,4,1,-9999
FRB20181229B,-9999,-9999,22.2,389,0.1,0.4,0.4,-9999,5,3,-9999
FRB20181230A,-9999,-9999,29.7,769.61,0.02,0.9,0.5,-9999,20,10,-9999
FRB20181230B,-9999,-9999,17.6,1137.36,0.05,0.9,0.5,-9999,10,5,-9999
FRB20181230C,-9999,-9999,16.5,1037.194,0.004,0.9,0.5,-9999,2,1,-9999
FRB20181230D,-9999,-9999,20,223.967,0.002,1.4,0.8,-9999,2,1,-9999
FRB20181230E,-9999,-9999,20.5,1041.71,0.04,1,1,-9999,10,6,-9999
FRB20181231A,-9999,-9999,39.3,1376.732,0.002,1.1,0.6,-9999,2,1,-9999
FRB20181231B,-9999,-9999,55.1,197.17,0.002,0.9,0.3,-9999,2.3,0.7,-9999
FRB20181231C,-9999,-9999,27.7,556.086,0.004,0.7,0.3,-9999,1.2,0.5,-9999
FRB20190101A,-9999,-9999,33,854.61,0.02,0.6,0.3,-9999,11,3,-9999
FRB20190101B,-9999,-9999,22.8,1323.906,0.004,1,0.6,-9999,4,3,-9999
FRB20190102A,-9999,-9999,50,699.173,0.006,1.1,0.5,-9999,4,2,-9999
FRB20190102B,-9999,-9999,31.9,367.164,0.004,1.7,0.7,-9999,4,2,-9999
FRB20190103B,-9999,-9999,26.4,541.13,0.06,0.7,0.5,-9999,13,7,-9999
FRB20190103C,-9999,-9999,34.2,1349.13,0.01,2,1,-9999,13,7,-9999
FRB20190103A,-9999,FRB20181119A,40,364.563,0.005,1.1,0.4,-9999,5,2,-9999
FRB20190103D,-9999,-9999,19.8,1913.551,0.009,0.5,0.2,-9999,1.2,0.4,-9999
FRB20190103E,-9999,-9999,13.5,736.25,0.01,0.5,0.3,-9999,2,1,-9999
FRB20190104A,-9999,-9999,24.4,549.433,0.003,1.5,0.8,-9999,4,2,-9999
FRB20190104A,-9999,-9999,24.4,549.433,0.003,1.5,0.8,-9999,4,2,-9999
FRB20190104B,-9999,-9999,12.8,530.14,0.01,3,2,-9999,10,6,-9999
FRB20190105A,-9999,-9999,10.5,383.55,0.04,0.6,0.4,-9999,4,2,-9999
FRB20190106A,-9999,-9999,12.7,340.06,0.01,0.3,0.2,-9999,0.8,0.5,-9999
FRB20190106B,-9999,-9999,77.2,316.594,0.002,2,1,-9999,4,2,-9999
FRB20190107A,-9999,-9999,15,849.2,0.8,0.5,0.3,-9999,6,4,-9999
FRB20190107B,-9999,-9999,26.8,166.094,0.003,3,2,-9999,4,2,-9999
FRB20190109A,-9999,-9999,15.4,324.6,0.02,1.2,0.6,-9999,6,3,-9999
FRB20190109A,-9999,-9999,15.4,324.6,0.02,1.2,0.6,-9999,6,3,-9999
FRB20190109B,-9999,-9999,14,175.17,0.03,1,1,-9999,3,2,-9999
FRB20190110A,-9999,-9999,63,472.753,0.008,1.5,0.9,-9999,4,2,-9999
FRB20190110B,-9999,-9999,18.8,486.12,0.01,0.5,0.3,-9999,2,1,-9999
FRB20190110C,-9999,-9999,28.3,221.96,0.02,0.6,0.4,-9999,1.4,0.8,-9999
FRB20190111A,-9999,-9999,131.7,171.9682,0.0008,4,1,-9999,17,7,-9999
FRB20190111A,-9999,-9999,131.7,171.9682,0.0008,4,1,-9999,17,7,-9999
FRB20190111A,-9999,-9999,131.7,171.9682,0.0008,4,1,-9999,17,7,-9999
FRB20190111B,-9999,-9999,32.6,1336.927,0.006,0.3,0.1,-9999,0.8,0.3,-9999
FRB20190112A,-9999,-9999,66.1,425.847,0.005,1.4,0.6,-9999,16,6,-9999
FRB20190113A,-9999,-9999,12.6,428.92,0.01,1,1,-9999,6,3,-9999
FRB20190114A,-9999,-9999,21.1,887.39,0.05,0.5,0.4,-9999,2,1,-9999
FRB20190115A,-9999,-9999,12.9,1021.68,0.02,0.5,0.3,-9999,1,0.6,-9999
FRB20190115B,-9999,-9999,25.2,748.29,0.02,1.5,0.9,-9999,5,3,-9999
FRB20190116E,-9999,-9999,12.4,1491.001,0.004,0.5,0.3,-9999,1.1,0.7,-9999
FRB20190116D,-9999,-9999,16.5,1164.02,0.02,0.5,0.3,-9999,5,2,-9999
FRB20190116A,-9999,FRB20190116B,19.9,445.5,0.2,0.3,0.2,-9999,4,1,-9999
FRB20190116B,190116.J1249+27,FRB20190116B,21.9,443.55,0.02,0.5,0.3,-9999,2,1,-9999
FRB20190116C,-9999,-9999,210.6,629.2765,0.0003,30,10,-9999,60,30,-9999
FRB20190116F,-9999,-9999,15.3,316.92,0.008,0.5,0.2,-9999,1.5,0.6,-9999
FRB20190117C,-9999,-9999,10.8,865.901,0.006,0.4,0.2,-9999,0.8,0.2,-9999
FRB20190117D,-9999,-9999,20.1,1178.06,0.01,0.8,0.4,-9999,4,2,-9999
FRB20190117A,190117.J2207+17,FRB20190117A,96.9,393.36,0.002,2,1,-9999,10,5,-9999
FRB20190118B,-9999,-9999,16.1,670.9,0.1,0.3,0.2,-9999,4,1,-9999
FRB20190118A,-9999,-9999,183.4,225.1079,0.0007,9,3,-9999,18,7,-9999
FRB20190121A,-9999,-9999,45.8,425.353,0.006,2,1,-9999,11,6,-9999
FRB20190122B,-9999,-9999,9.6,469.56,0.04,0.4,0.3,-9999,1.8,0.8,-9999
FRB20190122C,-9999,-9999,110.7,689.902,0.008,4,3,-9999,50,30,-9999
FRB20190122C,-9999,-9999,110.7,689.902,0.008,4,3,-9999,50,30,-9999
FRB20190122C,-9999,-9999,110.7,689.902,0.008,4,3,-9999,50,30,-9999
FRB20190122C,-9999,-9999,110.7,689.902,0.008,4,3,-9999,50,30,-9999
FRB20190122C,-9999,-9999,110.7,689.902,0.008,4,3,-9999,50,30,-9999
FRB20190122C,-9999,-9999,110.7,689.902,0.008,4,3,-9999,50,30,-9999
FRB20190122A,-9999,-9999,19.8,1231.2,0.3,0.33,0.07,-9999,6,3,-9999
FRB20190124A,-9999,-9999,39.5,1275.85,0.02,0.6,0.4,-9999,13,9,-9999
FRB20190124B,-9999,-9999,41.1,441.38,0.01,1,0.4,-9999,12,4,-9999
FRB20190124C,-9999,-9999,148.1,303.644,0.001,3,2,-9999,14,8,-9999
FRB20190124C,-9999,-9999,148.1,303.644,0.001,3,2,-9999,14,8,-9999
FRB20190124D,-9999,-9999,13.4,340.12,0.02,0.5,0.3,-9999,2,1,-9999
FRB20190124E,-9999,-9999,17.4,617.79,0.09,0.6,0.6,-9999,7,5,-9999
FRB20190124F,-9999,-9999,60.2,254.79,0.005,4,2,-9999,6,3,-9999
FRB20190125A,-9999,-9999,12.8,564.7,0.03,0.4,0.2,-9999,3,1,-9999
FRB20190125B,-9999,-9999,26.2,178.24,0.01,0.8,0.5,Flux is an extreme lower bound due to the event being detected in the far sidelobes.,5,3,Fluence is an extreme lower bound due to the event being detected in the far sidelobes.
FRB20190126A,-9999,FRB20180916B,27.8,350.002,0.007,0.7,0.2,-9999,4,1,-9999
FRB20190127B,-9999,-9999,18.8,663.03,0.05,0.6,0.5,-9999,11,6,-9999
FRB20190128A,-9999,-9999,16.5,696.12,0.02,0.6,0.4,-9999,2,1,-9999
FRB20190128B,-9999,-9999,21.4,248.23,0.006,0.8,0.3,-9999,1.6,0.5,-9999
FRB20190128C,-9999,-9999,17.5,310.62,0.08,0.7,0.7,-9999,6,4,-9999
FRB20190128D,-9999,-9999,15.5,430.23,0.01,1,1,-9999,4,3,-9999
FRB20190129A,-9999,-9999,18.8,484.76,0.01,0.5,0.3,-9999,5,3,-9999
FRB20190130A,-9999,-9999,12.6,1367.46,0.05,0.5,0.3,-9999,4,2,-9999
FRB20190130B,-9999,-9999,65.4,989.031,0.004,0.8,0.4,-9999,2.9,0.9,-9999
FRB20190131E,-9999,-9999,50.7,279.801,0.002,3,2,-9999,5,3,-9999
FRB20190131D,-9999,-9999,48.9,642.122,0.001,3,2,-9999,7,4,-9999
FRB20190131D,-9999,-9999,48.9,642.122,0.001,3,2,-9999,7,4,-9999
